#chr	start	end	strand	query	frac	ins	del	shift	stop	expect	ident	polya	type
AP000423.1	29800	29874	-	ATMG01060.1	0.23	0	0	0	0	1e-06	0.960	3	FRAG
BK010421.1	12386	12472	-	AT2G07806.1	0.14	0	0	0	0	7e-09	1.000	0	FRAG
BK010421.1	53438	54906	-	AT2G07815.1	0.82	0	2	0	1	1e-44	0.98	0	DUP
BK010421.1	77544	78118	-	ATCG00490.1	0.40	2	2	2	0	1e-88	0.943	0	FRAG
BK010421.1	99016	99165	-	ATMG00030.1	0.47	0	0	0	0	7e-21	0.980	0	FRAG
BK010421.1	101887	102148	-	AT2G07738.1	1.00	2	0	2	0	2e-27	1.000	0	PSSD
BK010421.1	126033	129666	-	AT2G07706.1	1.00	2	0	1	0	5e-33	0.98	0	DUP
BK010421.1	205721	206150	-	ATCG00190.1	0.13	3	0	1	1	3e-62	0.930	0	FRAG
BK010421.1	239344	243392	-	AT2G07681.1	0.97	1	0	1	0	1e-36	0.99	0	DUP
BK010421.1	241136	241953	-	AT2G07773.1	1.00	1	0	1	0	3e-116	0.938	0	PSSD
BK010421.1	247466	247791	-	AT2G07669.1	1.00	1	0	1	0	9e-45	1.000	0	PSSD
BK010421.1	249184	249919	-	AT2G07678.1	1.00	1	0	1	0	2e-121	1.000	0	PSSD
BK010421.1	261534	262072	-	ATMG00670.1	0.59	19	1	1	0	1e-19	0.552	0	FRAG
BK010421.1	300246	301655	-	AT2G07667.1	0.89	2	0	2	0	1e-24	0.99	0	DUP
BK010421.1	306497	307917	-	AT2G07798.1	0.59	0	0	0	1	8e-32	0.95	0	DUP
BK010421.1	308677	308808	-	ATMG01100.1	0.42	0	0	0	0	2e-19	0.932	0	FRAG
CP002685.1	57251	57334	-	AT5G10336.1	0.70	0	0	0	0	2e-08	1.000	0	FRAG
CP002685.1	72200	72508	-	AT3G55820.1	0.50	0	0	0	0	8e-29	0.854	0	FRAG
CP002685.1	169967	170613	-	AT3G13062.3	0.53	26	23	4	5	6e-36	0.534	0	FRAG
CP002685.1	373131	374204	-	AT2G02650.1	0.98	3	4	0	0	5e-82	0.533	1	PSSD
CP002685.1	402883	402987	-	AT5G52080.1	1.00	0	0	0	0	1e-10	0.943	3	PSSD
CP002685.1	455728	456152	-	AT3G57810.2	0.50	3	16	3	1	3e-19	0.627	1	FRAG
CP002685.1	522870	523179	-	AT3G15130.1	0.17	4	14	4	3	2e-07	0.653	3	FRAG
CP002685.1	532347	532793	-	AT5G19270.1	0.41	2	2	0	1	6e-15	0.285	0	FRAG
CP002685.1	598127	599516	-	AT2G02250.1	0.86	0	20	0	1	8e-42	0.62	0	DUP
CP002685.1	613172	614613	-	AT2G02360.1	0.97	1	4	0	0	2e-35	0.61	0	DUP
CP002685.1	669127	669391	-	AT2G02500.1	0.29	2	1	1	0	7e-10	0.517	3	FRAG
CP002685.1	752906	753030	-	AT2G02710.3	0.12	1	0	1	2	7e-09	0.857	3	FRAG
CP002685.1	780883	781062	-	AT1G55910.1	0.18	0	0	0	0	3e-22	0.917	1	FRAG
CP002685.1	792548	792874	-	AT1G45403.1	0.63	6	4	0	0	5e-09	0.363	2	FRAG
