pseudogene_id	chrom	start	end	strand	parent_protein	frameshifts	insertions	deletions	stop_codons	exon_count	coverage	identity	evalue
PG1	AP000423.1	30471	30560	-	AEE76369.1	0	0	0	0	1	0.64	0.97	6.6e-19
PG2	AP000423.1	44057	44265	-	AEC06210.1	1	1	1	1	1	0.99	0.94	1e-36
PG5	AP000423.1	154366	154473	+	BAA84425.1	0	0	0	0	1	0.39	0.97	2.7e-20
PG6	BK010421.1	369	782	-	AEC06104.1	0	0	0	0	1	0.99	0.99	6.4e-58
PG8	BK010421.1	11390	11470	-	ANM63005.1	0	0	0	0	1	0.31	0.93	1.7e-16
PG9	BK010421.1	15509	16183	+	ANM65689.1	4	6	4	4	1	0.43	0.35	2.1e-31
PG10	BK010421.1	31115	31270	+	AEC06063.1	0	0	0	0	1	0.61	1.00	3e-30
PG11	BK010421.1	31526	32056	+	AEC06062.1	0	30	1	0	1	0.56	0.77	2.6e-62
PG12	BK010421.1	36436	36519	+	AEC06119.1	0	0	0	0	1	0.13	1.00	7.4e-18
PG13	BK010421.1	39544	39804	-	AEC06122.1	0	0	0	0	1	0.99	1.00	1.8e-49
PG14	BK010421.1	40396	40719	+	AEC06123.1	0	0	0	0	1	0.99	1.00	6.7e-61
PG15	BK010421.1	42621	43214	-	AEC06124.1	0	0	0	0	1	0.99	1.00	4.2e-96
PG16	BK010421.1	44183	45781	-	ANM62143.1	0	0	0	0	4	0.99	0.98	1.6e-24
PG17	BK010421.1	47473	47553	-	ANM62142.1	0	0	0	0	1	0.82	1.00	3.6e-16
PG18	BK010421.1	48924	49398	-	AEC06125.1	0	0	0	0	2	0.99	1.00	9.3e-58
PG19	BK010421.1	53104	53418	+	AEC06091.1	0	0	0	0	1	0.99	1.00	3.8e-54
PG20	BK010421.1	53969	54421	+	AEC06092.1	0	0	0	0	1	0.99	1.00	1.2e-86
PG23	BK010421.1	63629	64360	+	AEC06061.1	0	0	0	0	1	0.99	0.99	1e-135
PG24	BK010421.1	68792	69652	-	AEC06088.1	0	2	0	0	1	0.37	0.96	1.6e-136
PG25	BK010421.1	70158	73304	-	AEC06087.1	1	1	0	5	8	1.00	0.89	3.4e-42
PG26	BK010421.1	74933	75183	+	AEE31993.1	1	1	1	0	1	0.14	0.44	1.6e-19
PG27	BK010421.1	75196	75441	+	AEE84338.1	0	1	0	1	1	0.22	0.40	5.1e-22
PG29	BK010421.1	80272	82491	+	AEC06084.1	0	0	0	1	6	1.00	0.92	6.6e-56
PG30	BK010421.1	83525	84394	-	AEC06082.1	0	0	0	0	1	1.00	1.00	4.2e-143
PG31	BK010421.1	87728	88013	-	ANM63005.1	1	11	0	2	1	0.98	0.90	1.4e-33
PG32	BK010421.1	90288	90912	-	ANM63006.1	0	0	0	0	2	0.96	0.99	4e-41
PG33	BK010421.1	91028	91432	+	AEC06080.1	0	0	0	0	1	0.99	1.00	2e-81
PG34	BK010421.1	92298	92670	+	ANM63004.1	0	0	0	0	2	0.98	0.96	7.2e-12
PG35	BK010421.1	99253	99763	+	BAA84365.1	1	1	4	3	1	0.49	0.91	3e-86
PG36	BK010421.1	101237	101669	-	ANM63002.1	0	0	0	0	2	0.99	1.00	6.4e-39
PG37	BK010421.1	107611	107733	+	ANM63003.1	0	0	0	0	1	0.98	1.00	9e-20
PG38	BK010421.1	110304	110572	+	AEC06125.1	1	4	0	0	1	0.68	0.94	1.6e-49
PG39	BK010421.1	131075	131611	-	AEC06061.1	0	5	4	0	1	0.72	0.49	2.5e-41
PG40	BK010421.1	141019	141114	+	AEE30923.1	0	0	0	1	1	0.63	0.67	5.7e-10
PG41	BK010421.1	144252	148838	-	AEC06119.1	0	0	0	3	7	1.00	0.87	2e-40
PG42	BK010421.1	149397	149480	+	ANM62144.1	0	0	0	0	1	0.97	1.00	8.7e-22
PG43	BK010421.1	149612	150350	-	AEC06118.1	0	0	4	0	3	0.99	0.93	7.4e-30
PG44	BK010421.1	151094	152636	-	ANM63230.1	0	0	0	0	3	0.99	0.98	2.1e-47
PG45	BK010421.1	154626	156084	+	ANM63231.1	0	0	0	0	5	1.00	0.97	1.6e-35
PG46	BK010421.1	156833	158597	-	AEC06114.1	1	1	0	1	6	0.99	0.90	1.2e-27
PG47	BK010421.1	159074	159265	+	AEC06113.1	0	0	0	0	1	0.98	1.00	6.3e-38
PG48	BK010421.1	164980	165550	+	BAA84393.1	1	1	2	0	1	0.40	0.94	3.6e-86
PG49	BK010421.1	172279	175440	-	ANM63227.1	0	0	0	0	5	1.00	0.97	3e-49
PG50	BK010421.1	176242	176502	+	AEC06110.1	0	0	0	0	1	0.99	1.00	3.5e-56
PG51	BK010421.1	176601	176974	-	ANM63229.1	0	0	0	0	2	0.99	0.99	1.7e-41
PG52	BK010421.1	177600	180035	-	AEC06109.1	0	0	0	2	7	1.00	0.93	1.6e-36
PG53	BK010421.1	184465	184763	-	AEC08984.1	1	1	0	1	1	0.61	0.78	2.3e-47
PG54	BK010421.1	187004	187321	+	AEC06106.1	0	0	0	0	1	0.99	0.99	4.4e-58
PG55	BK010421.1	188188	189479	+	AEC06105.1	0	0	0	0	4	0.61	1.00	2.9e-51
PG56	BK010421.1	192577	193028	+	ANM63226.1	0	0	0	0	2	0.99	1.00	1.7e-24
PG57	BK010421.1	194566	194979	-	AEC06104.1	0	0	0	0	1	0.99	0.99	3e-57
PG59	BK010421.1	198727	199233	+	AEC06103.1	0	0	0	0	2	0.99	0.99	2e-45
PG60	BK010421.1	200226	200705	+	AEC06102.1	0	0	0	0	1	0.99	1.00	3.2e-85
PG61	BK010421.1	202340	202471	+	ANM62234.1	0	0	0	0	1	0.98	1.00	8.1e-25
PG62	BK010421.1	206351	206446	-	AEC06095.1	0	0	0	0	1	0.20	0.97	6.7e-20
PG63	BK010421.1	206523	207458	-	AEC06101.1	0	0	0	0	1	1.00	1.00	8.8e-167
PG64	BK010421.1	224052	225267	-	ANM62230.1	1	8	3	2	4	0.99	0.91	1.1e-30
PG65	BK010421.1	225564	226109	+	AEC06099.1	0	0	0	0	1	0.93	1.00	6.7e-111
PG66	BK010421.1	226206	226568	-	AEC06098.1	0	0	0	0	1	0.99	1.00	6.7e-61
PG67	BK010421.1	228033	228131	-	ANM62229.1	0	0	0	0	1	0.97	1.00	1.5e-19
PG68	BK010421.1	228375	228756	-	ANM62233.1	0	0	0	2	2	0.99	0.96	1.1e-29
PG69	BK010421.1	229909	230331	-	ANM63228.1	0	0	0	1	2	0.44	0.86	8.8e-34
PG70	BK010421.1	238397	238447	-	AEC06070.1	0	0	0	0	1	0.14	0.83	1.8e-10
PG71	BK010421.1	245658	246340	-	AEC06097.2	0	0	0	0	2	0.99	1.00	1.8e-54
PG72	BK010421.1	246414	246518	-	AEC06061.1	0	0	0	0	1	0.14	0.72	1.8e-17
PG73	BK010421.1	247518	247586	+	AEC06125.1	0	0	0	0	1	0.18	0.96	8.3e-14
PG74	BK010421.1	247735	251365	+	AEC06094.1	0	20	3	1	9	1.00	0.95	1.2e-39
PG75	BK010421.1	252189	253040	-	AEE34363.1	0	1	0	0	2	0.99	0.90	4.5e-45
PG76	BK010421.1	255577	256463	-	ANM63007.1	0	20	0	3	2	1.00	0.83	5e-55
PG77	BK010421.1	260626	261078	-	AEC06092.1	0	0	0	0	1	0.99	1.00	4.1e-82
PG78	BK010421.1	261629	261943	-	AEC06091.1	0	0	0	0	1	0.99	1.00	1.3e-56
PG79	BK010421.1	267561	269300	-	AEC06089.1	1	1	0	0	5	1.00	0.94	2.5e-31
PG80	BK010421.1	269868	270650	-	AEC06062.1	0	0	0	0	1	1.00	0.99	1.7e-144
PG81	BK010421.1	273888	274157	-	AEC06064.1	0	0	0	0	1	0.99	1.00	1.5e-53
PG82	BK010421.1	276690	277163	+	AEC06065.1	0	0	0	0	1	0.99	0.99	8.4e-80
PG83	BK010421.1	278552	278644	+	AEC06084.1	0	0	0	0	1	0.12	0.97	4.6e-17
PG84	BK010421.1	279045	279483	+	ANM63086.1	1	11	0	0	2	0.99	0.94	3.9e-30
PG85	BK010421.1	280277	280381	-	AEC06066.1	0	0	0	0	1	0.97	1.00	1.5e-24
PG86	BK010421.1	281661	282229	-	ANM61966.1	0	0	0	1	2	0.99	0.94	6.6e-36
PG87	BK010421.1	284614	284928	+	AEC06067.1	0	0	0	0	1	0.99	0.99	2.1e-48
PG88	BK010421.1	286968	287936	+	ANM63155.1	0	0	0	0	1	1.00	1.00	7e-142
PG89	BK010421.1	290655	291005	+	AEC06071.1	0	0	0	0	1	0.99	0.99	7.8e-68
PG92	BK010421.1	295433	295702	+	ANM61965.1	0	18	0	1	1	0.88	0.80	4e-23
PG93	BK010421.1	297065	297610	+	AEC08110.1	0	7	14	0	1	0.27	0.48	5.1e-40
PG94	BK010421.1	299135	299866	+	AEC06073.1	0	0	0	0	1	1.00	1.00	3.1e-111
PG95	BK010421.1	301262	301585	+	AEC06074.1	0	0	0	0	1	0.99	1.00	1.6e-43
PG96	BK010421.1	302171	302528	-	ANM61969.1	0	0	0	0	2	0.97	0.97	1.4e-14
PG97	BK010421.1	305403	305453	-	AEC06104.1	0	0	0	0	1	0.12	0.94	1.2e-08
PG98	BK010421.1	305663	310391	+	AEC06075.1	0	0	0	1	10	1.00	0.95	7.6e-73
