# Intersecting genes (threshold: 60.0%)
# Total genes in file1: 3705
# Total genes in file2: 7859
# Total matches found: 2598
# Match percentage: 70.12%
# Average values:
#   pseudopipe coverage: 0.53
#   pseudoscope coverage: 0.57
#   pseudopipe identity: 0.66
#   pseudoscope identity: 0.63
#   overlap: 94.93%

# chrom	ppipe_start	ppipe_end	pscope_start	pscope_end	ppipe_cov	pscope_cov	ppipe_ident	pscope_ident	overlap
BK010421.1	249184	249919	247735	251365	1.00	1.00	1.00	0.95	100.00%
BK010421.1	306497	307917	305663	310391	0.59	1.00	0.95	0.95	100.00%
BK010421.1	308677	308808	305663	310391	0.42	1.00	0.93	0.95	100.00%
CP002685.1	57251	57334	57254	57334	0.70	0.68	1.00	1.00	96.43%
CP002685.1	72200	72508	72140	72508	0.50	0.60	0.85	0.73	100.00%
CP002685.1	169967	170613	169970	170654	0.53	0.55	0.53	0.72	99.54%
CP002685.1	373131	374204	373218	374740	0.98	0.89	0.53	0.31	91.90%
CP002685.1	402883	402987	402886	402987	1.00	0.97	0.94	0.91	97.14%
CP002685.1	455728	456152	455779	456152	0.50	0.44	0.63	0.64	88.00%
CP002685.1	522870	523179	522976	523179	0.17	0.11	0.65	0.73	65.81%
CP002685.1	532347	532793	532335	534017	0.41	1.00	0.28	0.33	100.00%
CP002685.1	598127	599516	598136	599600	0.86	0.96	0.62	0.48	99.35%
CP002685.1	613172	614613	613172	614685	0.97	0.97	0.61	0.58	100.00%
CP002685.1	780883	781062	780886	781062	0.18	0.18	0.92	0.92	98.33%
CP002685.1	792548	792874	792518	792874	0.63	0.69	0.36	0.35	100.00%
CP002685.1	849768	849854	849708	852936	0.11	0.19	0.90	0.64	100.00%
CP002685.1	852850	852936	849708	852936	0.11	0.19	0.90	0.64	100.00%
CP002685.1	925377	925765	925358	925753	0.86	0.90	0.35	0.28	96.92%
CP002685.1	1000732	1001741	1000735	1001741	0.95	0.95	0.92	0.92	99.70%
CP002685.1	1191789	1192996	1191792	1192996	1.00	1.00	0.68	0.76	99.75%
CP002685.1	1194714	1195497	1194738	1195548	0.98	0.47	0.49	0.29	96.94%
CP002685.1	1201671	1203651	1201533	1203453	0.72	0.73	0.45	0.40	90.01%
CP002685.1	1227827	1233203	1227950	1234898	0.56	0.84	0.58	0.57	97.71%
CP002685.1	1237070	1237396	1237073	1237396	0.65	0.60	0.86	0.86	99.08%
CP002685.1	1246169	1247861	1246172	1247879	0.55	0.58	0.56	0.49	99.82%
CP002685.1	1254900	1255070	1254696	1255118	0.14	0.33	0.38	0.29	100.00%
CP002685.1	1272301	1272471	1272304	1272453	0.22	0.19	0.61	0.65	87.72%
CP002685.1	1365251	1365409	1365097	1365513	0.84	0.37	0.53	0.40	100.00%
CP002685.1	1420892	1421239	1420776	1421681	0.42	0.99	0.53	0.86	100.00%
CP002685.1	1421475	1421681	1420776	1421681	1.00	0.99	0.94	0.86	100.00%
CP002685.1	1469306	1469437	1469315	1469971	0.18	0.83	0.82	0.23	93.18%
CP002685.1	1469558	1470004	1469315	1469971	0.99	0.83	0.93	0.23	92.62%
CP002685.1	1485499	1486356	1485499	1487104	0.95	0.96	0.34	0.32	100.00%
CP002685.1	1571146	1571526	1571143	1571576	0.83	0.49	0.48	0.28	100.00%
CP002685.1	1605719	1605842	1605722	1606357	0.25	0.40	0.81	0.81	97.58%
CP002685.1	1653781	1653988	1653068	1653967	0.43	0.54	0.64	0.65	89.90%
CP002685.1	1654547	1655693	1654544	1655702	0.90	0.89	0.53	0.51	100.00%
CP002685.1	1787656	1787897	1787747	1787897	0.37	0.25	0.65	0.84	62.40%
CP002685.1	1828043	1828751	1828115	1829732	0.91	0.96	0.53	0.34	89.84%
CP002685.1	1832500	1833222	1832389	1833222	0.71	0.85	0.61	0.49	100.00%
CP002685.1	1834478	1835946	1834481	1835946	0.99	0.99	0.62	0.63	99.80%
CP002685.1	1851692	1852328	1851695	1852328	0.84	0.83	0.60	0.90	99.53%
CP002685.1	1897749	1897913	1897752	1897913	0.61	0.60	0.55	0.55	98.18%
CP002685.1	1921595	1922901	1921844	1923267	0.79	0.89	0.37	0.29	80.95%
CP002685.1	1926084	1926326	1925643	1926407	0.22	0.63	0.37	0.28	100.00%
CP002685.1	2069535	2069877	2069350	2070957	0.20	0.32	0.37	0.79	100.00%
CP002685.1	2153076	2158727	2154670	2160767	0.05	0.23	0.94	0.73	71.80%
CP002685.1	2189987	2190124	2189978	2190124	0.29	0.31	0.70	0.64	100.00%
CP002685.1	2313853	2315157	2313802	2315328	0.50	0.95	0.57	0.55	100.00%
